ARK	200	214	214$c	700	300$a
ark:/12148/cb469411157	 $a Fauve $b Texte imprimé $f Izia Soley	 $a Paris $c Addictives $d DL 2021¤ $a impr. en République tchèque	Addictives	 $3 18015042 $o ISNI0000000507143511 $a Soley $b Izia $4 070	
ark:/12148/cb46961935g	 $a Ricordi $b Texte imprimé $e haïkus $f Alain Michaud	 $a Mary $c Jumo édition $d 2017	Jumo édition	 $3 13749761 $o ISNI000000000297976X $a Michaud $b Alain $f 1956-.... $4 070	
ark:/12148/cb46965815j	 $a Le diable est un mec bien $b Texte imprimé $f Thomas Piet	 $a Paris $c Kiwi romans $d DL 2021¤ $a 58-Clamecy $c Impr. Laballery	Kiwi romans¤Impr. Laballery	 $3 17835279 $a Piet $b Thomas $4 070	
ark:/12148/cb46962635w	 $a Tant qu'il reste des îles $b Texte imprimé $f Martin Dumont	 $a Paris $c les Avrils $d DL 2020¤ $a 86-Ligugé $c Aubin impr.	les Avrils¤Aubin impr.	 $3 17744420 $a Dumont $b Martin $f 1988-.... $4 070	
ark:/12148/cb469697455	 $a Amrita $b Texte imprimé $e roman $f Patricia Reznikov	 $a [Paris] $c Flammarion $d DL 2020¤ $a 53-Mayenne $c Impr. Floch	Flammarion¤Impr. Floch	 $3 12069425 $o ISNI0000000044912213 $a Reznikov $b Patricia $f 1962-.... $4 070	
ark:/12148/cb469409752	 $a Touchdown $b Texte imprimé $e campus star $f Sonia Birdy	 $a Paris $c Luv $d DL 2021¤ $a impr. en République tchèque	Luv	 $3 17847153 $o ISNI0000000478917767 $a Birdy $b Sonia $4 070	
ark:/12148/cb46962055v	 $a Le jardin du lagerkommandant $b Texte imprimé $e roman $f Anton Stoltz	 $a Paris $c Maurice Nadeau $d DL 2020¤ $a impr. en Bulgarie	Maurice Nadeau	 $3 18032554 $a Stoltz $b Anton $4 070	
ark:/12148/cb47002825g	 $a Alias $b Texte imprimé $e roman $f Claire Gallois	 $a Paris $c Flammarion $d DL 2021¤ $a 53-Mayenne $c Impr. Floch	Flammarion¤Impr. Floch	 $3 11903985 $o ISNI0000000110310131 $a Gallois $b Claire $f 1937-.... $4 070	
ark:/12148/cb46997866j	 $a En URSS avec Gide $b Texte imprimé $e mon journal $f Cécile Vargaftig	 $a Paris $c Arthaud $d DL 2021	Arthaud	 $3 12995842 $o ISNI0000000078356067 $a Vargaftig $b Cécile $f 1965-.... $4 070	
ark:/12148/cb46961936t	 $a Jardins $b Texte imprimé $e haïkus $f Alain Michaud	 $a Mary $c Jumo édition $d 2017	Jumo édition	 $3 13749761 $o ISNI000000000297976X $a Michaud $b Alain $f 1956-.... $4 070	
